id,title,company,location,skills,date_posted,source,scraped_at
81,Software Developer,Contour Software,"Karāchi, Sindh, Pakistan",General,2 months ago,LinkedIn,5/25/2025 1:36
82,Associate Software Engineer- Data Engineer,Devsinc,"Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
83,Full-Stack Developer - Dot Net & Angular,Hul Hub Pakistan,"Karachi Division, Sindh, Pakistan",Angular,7 months ago,LinkedIn,5/25/2025 1:36
84,Full Stack Developer,Retailo Technologies,"Islamabad, Islāmābād, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
85,Software Engineer-Python/Django,Devsinc,"Lahore, Punjab, Pakistan","Python, Django",1 month ago,LinkedIn,5/25/2025 1:36
86,"Front-End Developer (React.js) - 0519 - Lahore, Pakistan",Bionic Talent,"Lahore, Punjab, Pakistan",React,1 week ago,LinkedIn,5/25/2025 1:36
87,Mobile Application Developer (Fresh),Dubizzle Labs,"Lahore, Punjab, Pakistan",General,6 days ago,LinkedIn,5/25/2025 1:36
88,web developer,Reamarc.io,"Rawalpindi, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
89,Associate Software Engineer - AI/ML,Devsinc,"Lahore, Punjab, Pakistan",AI,1 month ago,LinkedIn,5/25/2025 1:36
90,Associate Software Engineer- AI/ML,Devsinc,"Islamabad, Islāmābād, Pakistan",AI,1 month ago,LinkedIn,5/25/2025 1:36
91,Software Engineer,Kodifly,"Islamabad, Islāmābād, Pakistan",General,3 weeks ago,LinkedIn,5/25/2025 1:36
92,Laravel Developer,Hybrid Mediaworks,"Islamabad, Islāmābād, Pakistan",Laravel,2 weeks ago,LinkedIn,5/25/2025 1:36
93,"Java Developer - Spring Boot (Onsite, Karachi, PKR Salary)",HR POD Careers,"Karāchi, Sindh, Pakistan",Java,2 days ago,LinkedIn,5/25/2025 1:36
94,Software Engineer,Enghouse Interactive,"Lahore, Punjab, Pakistan",General,3 days ago,LinkedIn,5/25/2025 1:36
95,Associate Software Engineer - Data Science,Devsinc,"Islamabad, Islāmābād, Pakistan",Data Science,1 month ago,LinkedIn,5/25/2025 1:36
96,Software Engineer- ROR,Devsinc,"Lahore, Punjab, Pakistan",General,1 month ago,LinkedIn,5/25/2025 1:36
97,"Data Engineer II, Marketing & Data Technology",S&P Global,"Islamabad, Islāmābād, Pakistan",General,1 hour ago,LinkedIn,5/25/2025 12:12
98,Data Science Engineer,Habib Bank AG Zurich,"Karāchi, Sindh, Pakistan",Data Science,5 days ago,LinkedIn,5/25/2025 12:12
